NewsTitle,NewsDate,Region,Province,Department,Link_News
จังหวัดพะเยา Kick off สร้างเกราะป้องกันด้วยวัคซีน นักเรียน นักศึกษาปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม พร้อมกับโรงเรียนและสถาบันการศึกษาทั่วประเทศ,4/10/2021,ภาคเหนือ,พะเยา,สวท.พะเยา,https://thainews.prd.go.th/th/news/detail/TCATG211004143516900
จ.มหาสารคาม Kick Off ฉีดวัคซีนไฟเซอร์ นักเรียน อายุ 12-18 ปี,4/10/2021,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,สำนักงานประชาสัมพันธ์จังหวัดมหาสารคาม,https://thainews.prd.go.th/th/news/detail/TCATG211004142524898
จังหวัดสตูล Kick Off ฉีดวัคซีน Pfizer ให้นักเรียน อายุ 12-18 ปี “สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม”,4/10/2021,ภาคใต้,สตูล,สำนักงานประชาสัมพันธ์จังหวัดสตูล,https://thainews.prd.go.th/th/news/detail/TCATG211004165612993
นักเรียนอายุตั้งแต่ 12-18 ปี ที่จังหวัดบุรีรัมย์ เข้าคิวรอรับบริการฉีดวัคซีนไฟเซอร์สร้างภูมิป้องกันโควิด -19 ที่โรงพยาบาลบุรีรัมย์,4/10/2021,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,สำนักงานประชาสัมพันธ์จังหวัดบุรีรัมย์,https://thainews.prd.go.th/th/news/detail/TCATG211004150600922
จ.ตาก kick off ฉีดวัคซีน Pfizer ป้องกันโควิด-19 เข็มแรกสำหรับนักเรียน อายุ 12 ปี ขึ้นไป ภายใต้กิจกรรมสร้างเกราะป้องกันด้วยวัคซีน “ปลอดภัย-เรียนอุ่นใจ ต้อนรับเปิดเทอม”,4/10/2021,ภาคตะวันตก,ตาก,สำนักงานประชาสัมพันธ์จังหวัดตาก,https://thainews.prd.go.th/th/news/detail/TCATG211004152352936
รองผู้ว่าราชการจังหวัดตาก พร้อมคณะ ร่วม Kick off การฉีดวัคซีน Pfizer ป้องกันโรคโควิด-19 เพื่อ “สร้างเกราะป้องกันด้วยวัคซีน เด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม”,4/10/2021,ภาคกลางและปริมณฑล,ตาก,สวท.ตาก,https://thainews.prd.go.th/th/news/detail/TCATG211004160417959
ประมวลข่าวทั่วไทยประจำวันที่ 4 ตุลาคม 2564,4/10/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG211004154828948
รองผู้ว่าฯ นราธิวาส เปิดกิจกรรม Kick off “สถานศึกษาปลอดภัย เด็กได้รับวัคซีนถ้วนหน้า” ฉีดวัคซีนไฟเซอร์เข็มแรกให้แก่นักเรียน นักศึกษา ที่มีอายุ 12-18 ปี เตรียมความพร้อมสำหรับเปิดภาคเรียนที่ 2 ปีการศึกษา 2564,4/10/2021,ภาคใต้,นราธิวาส,สวท.นราธิวาส,https://thainews.prd.go.th/th/news/detail/TCATG211004165352991
สมุทรสาคร Kick Off สร้างเกราะป้องกันด้วยวัคซีน ( Pfizer ) ในเด็กนักเรียน,4/10/2021,ภาคตะวันตก,สมุทรสาคร,สำนักงานประชาสัมพันธ์จังหวัดสมุทรสาคร,https://thainews.prd.go.th/th/news/detail/TCATG211004155609951
มหาสารคาม “Kick Off สร้างเกราะป้องกันด้วยวัคซีนเด็กปลอดภัย เรียนอุ่นใจ ต้อนรับเปิดเทอม” สร้างภูมิคุ้มกันให้นักเรียนและเยาวชนในพื้นที่,4/10/2021,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,สวท.มหาสารคาม,https://thainews.prd.go.th/th/news/detail/TCATG211004170805000
